铜川[785*576],rtp://239.111.205.29:5140
潼关综合[720*576],rtp://239.111.205.12:5140
渭南新闻,rtp://239.110.205.37:9854
渭南新闻,rtp://239.111.205.19:5140
渭南新闻[720*576],rtp://239.111.205.94:5140
西安1,rtp://239.109.205.130:8976
西安2,rtp://239.109.205.131:8984
西安3,rtp://239.110.205.38:9858
西安4,rtp://239.110.205.39:9862
西安都市[791*576],rtp://239.111.205.243:5140
西安教育,rtp://239.110.205.24:9842
西安教育[768*576],rtp://239.112.205.142:5140
西安乐购,rtp://239.111.205.30:5140
西安商务[785*576],rtp://239.112.205.174:5140
西安丝路[785*576],rtp://239.112.205.176:5140
西安新闻[791*576],rtp://239.111.205.242:5140
西安影视[785*576],rtp://239.112.205.175:5140
西部电影,rtp://239.111.205.102:5140
西教二,rtp://239.110.205.47:9914
西教二,rtp://239.112.205.242:5140
西教三,rtp://239.110.205.48:9918
西教三,rtp://239.112.205.241:5140
西教一,rtp://239.110.205.59:9910
西乡融媒,rtp://239.111.205.17:5140
咸阳综合[720*576],rtp://239.112.205.141:5140
兴平融媒[785*576],rtp://239.112.205.168:5140
延安1[720*576],rtp://239.112.205.169:5140
央广购物,rtp://239.109.205.75:8536
央广购物[768*576],rtp://239.112.205.208:5140
杨凌[785*576],rtp://239.111.205.253:5140
洋县电视台,rtp://239.111.205.77:5140
优购物,rtp://239.109.205.101:8744
榆林1,rtp://239.110.205.42:9882
榆林1[720*576],rtp://239.112.205.177:5140
榆林2[720*576],rtp://239.111.205.249:5140
圆点导视,rtp://239.112.205.237:5140
圆点生活,rtp://239.109.205.192:9608
圆点生活,rtp://239.111.205.15:5140
圆点影视,rtp://239.110.205.77:8016
悦美生活,rtp://239.110.205.81:7952
悦美生活,rtp://239.111.205.7:5140
直播室101,rtp://239.109.205.170:9612
直播室101,rtp://239.111.205.20:5140
直播室102,rtp://239.109.205.171:9614
直播室103,rtp://239.109.205.172:9616
直播室103,rtp://239.111.205.22:5140
直播室104,rtp://239.109.205.173:9618
直播室104,rtp://239.111.205.23:5140
直播室105,rtp://239.109.205.174:9620
直播室105,rtp://239.111.205.24:5140
直播室106,rtp://239.109.205.175:9622
直播室106,rtp://239.111.205.25:5140
直播室107,rtp://239.109.205.176:9624
直播室107,rtp://239.111.205.26:5140
直播室108,rtp://239.109.205.219:9714
