怀旧剧场,rtp://238.1.79.61:4624
风云剧场,rtp://238.1.79.62:4632
第一剧场,rtp://238.1.79.63:4640
电视指南,rtp://238.1.79.53:4560
央视文化精品,rtp://238.1.79.54:4568
女性时尚,rtp://238.1.79.55:4576
兵器科技,rtp://238.1.79.56:4584
风云足球,rtp://238.1.79.57:4592
世界地理,rtp://238.1.79.60:4616
风云音乐,rtp://238.1.79.64:4648
高尔夫网球,rtp://238.1.79.58:4600
央视台球,rtp://238.1.79.59:4608
乐游,rtp://238.1.78.151:7080 
茶频道,rtp://238.1.79.30:4352 
都市剧场,rtp://238.1.78.74:6464 
法治天地,rtp://238.1.78.84:6544 
